id,year,month,day,hour,minute,second,locationName,latitude,longitude,eqDepth,eqMagnitude,damageAmountOrder,eqMagMb,publish,damageAmountOrderTotal,housesDamagedTotal,housesDamagedAmountOrderTotal,country,regionCode,injuries,injuriesAmountOrder,housesDestroyed,housesDestroyedAmountOrder,housesDamaged,housesDamagedAmountOrder,eqMagMw,eqMagMs,injuriesTotal,injuriesAmountOrderTotal,housesDestroyedTotal,housesDestroyedAmountOrderTotal,deaths,deathsAmountOrder,damageMillionsDollars,eqMagMl,deathsTotal,deathsAmountOrderTotal,damageMillionsDollarsTotal,tsunamiEventId,intensity,volcanoEventId,area,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,time
5551,2000,1,3,22,34,12.6,INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,33.0,4.6,1.0,4.6,True,1.0,100.0,2.0,INDIA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-03 00:00:00+00:00
5552,2000,1,11,23,43,56.4,CHINA:  LIAONING PROVINCE,40.498,122.994,10.0,5.1,3.0,4.9,True,3.0,8800.0,4.0,CHINA,30,30.0,1.0,3600.0,4.0,8800.0,4.0,5.1,4.7,30.0,1.0,3600.0,4.0,,,,,,,,,,,,,,,,2000-01-11 00:00:00+00:00
5553,2000,1,14,23,37,7.8,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,33.0,5.9,4.0,5.4,True,4.0,,,CHINA,30,2528.0,4.0,41000.0,4.0,,,5.9,5.9,2528.0,4.0,41000.0,4.0,5.0,1.0,73.5,5.5,7.0,1.0,73.5,,,,,,,,,2000-01-14 00:00:00+00:00
5554,2000,2,2,22,58,1.5,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,33.0,5.3,2.0,5.1,True,2.0,300.0,3.0,IRAN,140,15.0,1.0,100.0,2.0,100.0,2.0,5.3,5.3,15.0,1.0,100.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2000-02-02 00:00:00+00:00
5555,2000,2,7,19,34,57.0,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,5.0,4.5,1.0,4.5,True,1.0,,,SOUTH AFRICA,10,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2000-02-07 00:00:00+00:00
5556,2000,3,28,11,0,22.5,JAPAN:  VOLCANO ISLANDS,22.338,143.73,127.0,7.6,,6.8,True,,,,JAPAN,30,,,,,,,7.6,7.6,,,,,,,,,,,,,,,,,,,,2000-03-28 00:00:00+00:00
5557,2000,5,4,4,21,16.2,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26.0,7.6,4.0,6.7,True,4.0,,,INDONESIA,170,264.0,3.0,23000.0,4.0,,,7.6,7.5,264.0,3.0,23000.0,4.0,54.0,2.0,30.0,,54.0,2.0,30.0,2338.0,,,,,,,,2000-05-04 00:00:00+00:00
5558,2000,5,7,23,10,54.1,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,5.0,4.1,2.0,4.5,True,2.0,200.0,3.0,TURKEY,140,,,,,,,,4.1,1.0,1.0,,,,,,,,,,,,,,,,,,2000-05-07 00:00:00+00:00
5559,2000,5,17,3,25,48.7,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,10.0,5.4,1.0,5.4,True,1.0,,,TAIWAN,30,13.0,1.0,,,,,5.4,5.3,13.0,1.0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,2000-05-17 00:00:00+00:00
5560,2000,6,4,16,28,26.1,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33.0,7.9,3.0,6.8,True,3.0,,,INDONESIA,60,2174.0,4.0,,,,,7.9,8.0,2174.0,4.0,,,103.0,3.0,6.0,,103.0,3.0,6.0,,6.0,,,,,,,2000-06-04 00:00:00+00:00
5561,2000,6,6,2,41,49.8,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,10.0,6.0,3.0,5.5,True,3.0,4600.0,4.0,TURKEY,140,80.0,2.0,,,,,6.0,6.1,80.0,2.0,,,2.0,1.0,,,2.0,1.0,,,7.0,,,,,,,2000-06-06 00:00:00+00:00
5562,2000,6,7,21,46,54.9,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.836,97.176,15.0,6.3,1.0,6.3,True,1.0,,2.0,MYANMAR (BURMA),60,,,,2.0,,2.0,6.3,6.5,,,,2.0,,,,,,,,,,,,,,,,2000-06-07 00:00:00+00:00
5563,2000,6,7,23,45,26.6,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33.0,6.7,2.0,6.1,True,2.0,600.0,3.0,INDONESIA,60,,,,,600.0,3.0,6.7,6.7,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,2000-06-07 00:00:00+00:00
5564,2000,6,10,18,23,29.3,TAIWAN:  NAN-TOU,23.843,121.225,33.0,6.4,1.0,6.2,True,1.0,,,TAIWAN,30,36.0,1.0,,,,,6.4,6.2,36.0,1.0,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,2000-06-10 00:00:00+00:00
5565,2000,6,18,14,44,13.3,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10.0,7.9,,6.8,True,,,,AUSTRALIA,60,,,,,,,7.9,7.8,,,,,,,,,,,,2341.0,,,,,,,,2000-06-18 00:00:00+00:00
5566,2000,6,21,0,51,46.8,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,10.0,6.5,3.0,6.1,True,3.0,,,ICELAND,120,,,12.0,1.0,12.0,1.0,6.5,6.6,,,12.0,1.0,,,12.0,,,,12.0,,,,,,,,,2000-06-21 00:00:00+00:00
5568,2000,7,1,7,1,55.5,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10.0,6.1,1.0,6.0,True,1.0,,,JAPAN,30,,3.0,,,,,6.1,6.1,,3.0,,,1.0,1.0,,,1.0,1.0,,2340.0,,5104.0,,,,,,2000-07-01 00:00:00+00:00
5569,2000,7,6,19,30,20.3,NICARAGUA:  MASAYA,11.884,-85.988,33.0,5.4,3.0,5.0,True,3.0,1130.0,4.0,NICARAGUA,100,42.0,1.0,357.0,3.0,1130.0,4.0,5.4,5.1,42.0,1.0,357.0,3.0,7.0,1.0,,,7.0,1.0,,,,,,,,,,2000-07-06 00:00:00+00:00
