id,time_ms,longitude,latitude,depth_km,magnitude,mag_type,place,sig,felt,cdi,mmi,alert,tsunami,type,url,time
us7000j3xk,1672537303755,126.738,7.1397,79.194,4.5,mb,"23 km ESE of Manay, Philippines",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3xk,2023-01-01 01:41:43.755000+00:00
us7000j1bs,1672542974442,155.232,-6.7065,35.0,5.4,mww,"51 km SSW of Panguna, Papua New Guinea",449,,,4.445,green,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1bs,2023-01-01 03:16:14.442000+00:00
us7000j3xm,1672546172814,102.7675,-4.7803,63.787,4.3,mb,"99 km SSW of Pagar Alam, Indonesia",284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3xm,2023-01-01 04:09:32.814000+00:00
us7000j3xu,1672548893914,-177.5423,-19.0419,556.99,4.1,mb,Fiji region,259,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3xu,2023-01-01 04:54:53.914000+00:00
us7000j3xn,1672549366402,-174.8756,-15.3219,255.47,4.1,mb,Tonga,259,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3xn,2023-01-01 05:02:46.402000+00:00
us7000j1cd,1672550829979,93.4248,17.4535,39.85,4.7,mb,"157 km WNW of Pathein, Myanmar",340,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1cd,2023-01-01 05:27:09.979000+00:00
us7000j3xs,1672551425794,128.6389,2.4752,231.588,4.1,mb,"108 km NE of Tobelo, Indonesia",259,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3xs,2023-01-01 05:37:05.794000+00:00
us7000j3ye,1672554286403,66.7962,-15.1473,10.0,4.2,mb,Mid-Indian Ridge,271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3ye,2023-01-01 06:24:46.403000+00:00
us7000j1cr,1672555185016,70.9078,36.5374,187.282,4.8,mb,"36 km S of Jurm, Afghanistan",354,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1cr,2023-01-01 06:39:45.016000+00:00
us7000j1d2,1672556581860,-25.6498,-58.8596,44.616,5.2,mww,South Sandwich Islands region,416,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1d2,2023-01-01 07:03:01.860000+00:00
us7000j3xr,1672561741360,154.6952,-6.2816,103.184,4.2,mb,"87 km W of Panguna, Papua New Guinea",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j3xr,2023-01-01 08:29:01.360000+00:00
